CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxNesting,RatioCommentToCode,number of parameter,"number of parameter without *args, **kargs",lineno,PAR,class
1,0,1,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,3,794,3,0
6,0,6,3,5,0,3,0,6,3,5,3,3,3,1,2,0,3,3,63,3,0
53,3,43,13,41,7,2717,3,45,12,44,19,19,20,10,4,0.16,4,4,437,4,0
118,0,111,14,110,7,513998968,10,105,14,104,47,47,55,11,4,0.06,5,5,2658,3,0
30,3,10,6,9,17,2,0,10,6,9,2,2,3,1,1,1.7,3,3,708,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,4,4,47,4,0
16,1,15,6,14,0,2,0,14,6,13,2,2,2,1,1,0,3,3,560,3,0
85,0,76,17,75,9,144,2,73,17,72,11,11,13,1,3,0.12,5,3,326,5,1
57,11,5,1,4,41,1,0,5,1,4,1,1,1,1,0,8.2,4,4,1116,4,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,3,292,3,0
8,0,4,3,3,4,1,0,4,3,3,1,1,1,1,0,1,5,5,178,5,1
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,5,5,1862,5,1
26,1,17,6,16,8,6,1,17,6,16,4,4,5,3,2,0.47,3,1,368,3,0
10,0,5,1,4,5,1,0,5,1,4,1,1,1,1,0,1,3,3,348,3,0
3,0,3,1,2,0,1,0,3,1,2,1,1,1,1,0,0,4,3,1406,3,0
7,0,7,2,6,0,3,0,6,2,5,3,3,3,1,2,0,3,3,396,3,0
5,0,5,2,4,0,4,1,6,2,5,3,3,3,1,1,0,3,3,352,3,0
3,0,3,2,2,0,2,0,3,2,2,2,2,2,1,1,0,3,3,59,3,0
10,0,7,2,6,3,3,0,6,2,5,3,3,3,3,2,0.43,5,5,1171,5,1
32,1,13,7,12,18,3,0,9,7,8,3,3,3,1,2,1.38,3,3,28,3,0
7,0,7,1,6,0,4,1,6,1,5,3,3,4,3,1,0,3,3,127,3,0
13,1,12,11,11,0,1,0,12,11,11,1,1,1,1,0,0,4,3,224,3,0
3,0,3,2,2,0,1,0,3,2,2,1,1,1,1,0,0,3,3,210,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,5,5,1560,4,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,1,484,3,0
52,10,23,12,22,19,32,2,22,12,21,6,6,6,3,1,0.83,4,3,164,3,0
17,2,14,4,13,1,6,1,14,4,13,4,4,4,1,2,0.07,4,4,1886,4,0
8,1,5,3,4,2,1,0,5,3,4,1,1,1,1,0,0.4,3,3,178,3,0
55,9,24,9,23,22,12,1,22,9,21,8,8,9,4,2,0.92,5,5,649,5,1
4,0,4,2,3,0,3,0,4,2,3,3,3,3,1,2,0,4,4,182,4,0
15,1,3,2,2,11,1,0,3,2,2,1,1,1,1,0,3.67,3,3,257,3,0
27,1,10,2,9,16,8,1,14,2,13,8,8,8,8,3,1.6,3,3,122,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,3,629,3,0
10,0,8,3,7,2,3,0,7,3,6,3,3,3,1,2,0.25,5,5,825,3,0
16,0,13,4,12,3,10,1,13,3,12,6,6,6,5,4,0.23,3,3,521,3,0
22,2,18,3,17,3,40,2,17,3,16,7,7,10,5,2,0.17,3,3,366,3,0
13,1,4,2,3,8,1,0,2,1,1,1,1,1,1,0,2,5,5,84,4,0
10,1,9,2,8,0,2,0,6,2,5,2,2,2,1,1,0,5,5,399,5,1
102,27,39,15,38,36,37,2,37,15,36,10,10,11,1,3,0.92,3,3,325,3,0
7,0,7,4,3,0,1,0,4,1,3,1,1,2,1,0,0,4,4,375,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,5,5,380,5,0
22,4,12,5,10,6,1,0,6,4,5,1,1,1,1,0,0.5,10,10,20,5,1
